Id,Noun,Article,Category,Image,Audio,AnswerAudio
regal,Regal,das,home,assets/images/420/home/Regal.png,assets/audio/Regal.mp3,assets/audio/das Regal.mp3
regenmantel,Regenmantel,der,clothing,assets/images/420/clothing/Regenmantel.png,assets/audio/Regenmantel.mp3,assets/audio/der Regenmantel.mp3
reisepass,Reisepass,der,travel,assets/images/420/travel/Reisepass.png,assets/audio/Reisepass.mp3,assets/audio/der Reisepass.mp3
restaurant,Restaurant,das,places,assets/images/420/places/Restaurant.png,assets/audio/Restaurant.mp3,assets/audio/das Restaurant.mp3
rettich,Rettich,der,food,assets/images/420/food/Rettich.png,assets/audio/Rettich.mp3,assets/audio/der Rettich.mp3
rock,Rock,der,clothing,assets/images/420/clothing/Rock.png,assets/audio/Rock.mp3,assets/audio/der Rock.mp3
rucksack,Rucksack,der,travel,assets/images/420/travel/Rucksack.png,assets/audio/Rucksack.mp3,assets/audio/der Rucksack.mp3
salz,Salz,das,food,assets/images/420/food/Salz.png,assets/audio/Salz.mp3,assets/audio/das Salz.mp3
schinken,Schinken,der,food,assets/images/420/food/Schinken.png,assets/audio/Schinken.mp3,assets/audio/der Schinken.mp3
schreibtisch,Schreibtisch,der,school,assets/images/420/school/Schreibtisch.png,assets/audio/Schreibtisch.mp3,assets/audio/der Schreibtisch.mp3
sessel,Sessel,der,home,assets/images/420/home/Sessel.png,assets/audio/Sessel.mp3,assets/audio/der Sessel.mp3
shorts,Shorts,die,clothing,assets/images/420/clothing/Shorts.png,assets/audio/Shorts.mp3,assets/audio/die Shorts.mp3
sicherheitskontrollpunkt,Sicherheitskontrollpunkt,der,travel,assets/images/420/travel/Sicherheitskontrollpunkt.png,assets/audio/Sicherheitskontrollpunkt.mp3,assets/audio/der Sicherheitskontrollpunkt.mp3
socke,Socke,die,clothing,assets/images/420/clothing/Socke.png,assets/audio/Socke.mp3,assets/audio/die Socke.mp3
socken,Socken,die,clothing,assets/images/420/clothing/Socken.png,assets/audio/Socken.mp3,assets/audio/die Socken.mp3
sofa,Sofa,das,home,assets/images/420/home/Sofa.png,assets/audio/Sofa.mp3,assets/audio/das Sofa.mp3
sonne,Sonne,die,nature,assets/images/420/nature/Sonne.png,assets/audio/Sonne.mp3,assets/audio/die Sonne.mp3
sonnencreme,Sonnencreme,die,travel,assets/images/420/travel/Sonnencreme.png,assets/audio/Sonnencreme.mp3,assets/audio/die Sonnencreme.mp3
spargel,Spargel,der,food,assets/images/420/food/Spargel.png,assets/audio/Spargel.mp3,assets/audio/der Spargel.mp3
spatel,Spatel,der,home,assets/images/420/home/Spatel.png,assets/audio/Spatel.mp3,assets/audio/der Spatel.mp3
speckstreifen,Speckstreifen,der,food,assets/images/420/food/Speckstreifen.png,assets/audio/Speckstreifen.mp3,assets/audio/der Speckstreifen.mp3
speckstreifen-pl,Speckstreifen,die,food,assets/images/420/food/Speckstreifen-pl.png,assets/audio/Speckstreifen.mp3,assets/audio/die Speckstreifen.mp3
stern,Stern,der,nature,assets/images/420/nature/Stern.png,assets/audio/Stern.mp3,assets/audio/der Stern.mp3
stier,Stier,der,animals,assets/images/420/animals/Stier.png,assets/audio/Stier.mp3,assets/audio/der Stier.mp3
stift,Stift,der,school,assets/images/420/school/Stift.png,assets/audio/Stift.mp3,assets/audio/der Stift.mp3
strand,Strand,der,nature,assets/images/420/nature/Strand.png,assets/audio/Strand.mp3,assets/audio/der Strand.mp3
strandtuch,Strandtuch,das,travel,assets/images/420/travel/Strandtuch.png,assets/audio/Strandtuch.mp3,assets/audio/das Strandtuch.mp3
stuhl,Stuhl,der,home,assets/images/420/home/Stuhl.png,assets/audio/Stuhl.mp3,assets/audio/der Stuhl.mp3
t-shirt,T-Shirt,das,clothing,assets/images/420/clothing/T-Shirt.png,assets/audio/T-Shirt.mp3,assets/audio/das T-Shirt.mp3
tee,Tee,der,food,assets/images/420/food/Tee.png,assets/audio/Tee.mp3,assets/audio/der Tee.mp3
teller,Teller,der,home,assets/images/420/home/Teller.png,assets/audio/Teller.mp3,assets/audio/der Teller.mp3
teppich,Teppich,der,home,assets/images/420/home/Teppich.png,assets/audio/Teppich.mp3,assets/audio/der Teppich.mp3
tisch,Tisch,der,home,assets/images/420/home/Tisch.png,assets/audio/Tisch.mp3,assets/audio/der Tisch.mp3
tomate,Tomate,die,food,assets/images/420/food/Tomate.png,assets/audio/Tomate.mp3,assets/audio/die Tomate.mp3
vogel,Vogel,der,animals,assets/images/420/animals/Vogel.png,assets/audio/Vogel.mp3,assets/audio/der Vogel.mp3
wal,Wal,der,animals,assets/images/420/animals/Wal.png,assets/audio/Wal.mp3,assets/audio/der Wal.mp3
wasserkocher,Wasserkocher,der,home,assets/images/420/home/Wasserkocher.png,assets/audio/Wasserkocher.mp3,assets/audio/der Wasserkocher.mp3
zeitung-01,Zeitung,die,home,assets/images/420/home/Zeitung-01.png,assets/audio/Zeitung.mp3,assets/audio/die Zeitung.mp3
zeitung-02,Zeitung,die,home,assets/images/420/home/Zeitung-02.png,assets/audio/Zeitung.mp3,assets/audio/die Zeitung.mp3
zucchini,Zucchini,die,food,assets/images/420/food/Zucchini.png,assets/audio/Zucchini.mp3,assets/audio/die Zucchini.mp3
zug,Zug,der,travel,assets/images/420/travel/Zug.png,assets/audio/Zug.mp3,assets/audio/der Zug.mp3
zwiebel,Zwiebel,die,food,assets/images/420/food/Zwiebel.png,assets/audio/Zwiebel.mp3,assets/audio/die Zwiebel.mp3
